Timestamp,Full Name,Email Address,Product Purchased,Overall Satisfaction,Would you recommend us to a friend?,Any additional comments?,Form Source,Date of Service,Location of Service,Rate your support experience,Was your issue resolved?,Any suggestions to improve?,Batch Timestamp
4/19/2025 15:25:23,Customer 1,kirbykt@vcu.edu,Laptop,3.0,Yes,Loved it!,Product Survey,,,,,,2025-04-20 21:40:03
4/19/2025 15:34:10,Customer 2,customer2@gmail.com,TV,4.0,Yes,Love the size!,Product Survey,,,,,,2025-04-20 21:40:03
4/19/2025 15:34:35,Customer 3,customer3@gmail.com,Smartphone,5.0,Yes,Wonderful and high tech!,Product Survey,,,,,,2025-04-20 21:40:03
4/19/2025 15:34:59,Customer4,customer4@gmail.com,Smartwatch,1.0,No,Hated the way this felt on my wrist:(,Product Survey,,,,,,2025-04-20 21:40:03
4/19/2025 15:35:26,Customer5,customer5@gmail.com,Smartphone,1.0,No,Too expensive!,Product Survey,,,,,,2025-04-20 21:40:03
4/19/2025 15:35:47,Customer6,customer6@gmail.com,TV,2.0,Yes,,Product Survey,,,,,,2025-04-20 21:40:03
4/19/2025 15:36:10,Customer 7,customer7@gmail.com,Smartwatch,4.0,Yes,,Product Survey,,,,,,2025-04-20 21:40:03
4/19/2025 15:36:35,Customer 8,customer8@gmail.com,TV,2.0,Yes,Love the clarity in the screen!,Product Survey,,,,,,2025-04-20 21:40:03
4/19/2025 15:37:02,Customer 9,customer9@gmail.com,Smartphone,3.0,Yes,Good quality,Product Survey,,,,,,2025-04-20 21:40:03
4/19/2025 15:39:44,Customer 1,customer1@gmail.com,,,,,Service Survey,4/15/2025,"Pittsburgh, PA",4.0,Yes,"Nope, thank you for the help",2025-04-20 21:40:03
4/19/2025 15:43:35,Customer 7,customer7@gmai.com,,,,,Service Survey,4/2/2025,"Charleston, SC",3.0,Yes,Cared about my needs!,2025-04-20 21:40:03
4/19/2025 15:45:51,Customer 10,customer10@gmail.com,,,,,Service Survey,3/14/2025,"Atlanta, GA",3.0,Yes,Quicker feedback,2025-04-20 21:40:03
