Timestamp,Full Name,Email Address,Product Purchased,Overall Satisfaction,Would you recommend us to a friend?,Any additional comments?,Date of Service,Location of Service,Rate your support experience,Was your issue resolved?,Any suggestions to improve?
4/19/2025 15:25:23,Customer 1,kirbykt@vcu.edu,Laptop,3.0,Yes,Loved it!,,,,,
4/19/2025 15:34:10,Customer 2,customer2@gmail.com,TV,4.0,Yes,Love the size!,,,,,
4/19/2025 15:34:35,Customer 3,customer3@gmail.com,Smartphone,5.0,Yes,Wonderful and high tech!,,,,,
4/19/2025 15:34:59,Customer4,customer4@gmail.com,Smartwatch,1.0,No,Hated the way this felt on my wrist:(,,,,,
4/19/2025 15:35:26,Customer5,customer5@gmail.com,Smartphone,1.0,No,Too expensive!,,,,,
4/19/2025 15:35:47,Customer6,customer6@gmail.com,TV,2.0,Yes,,,,,,
4/19/2025 15:36:10,Customer 7,customer7@gmail.com,Smartwatch,4.0,Yes,,,,,,
4/19/2025 15:36:35,Customer 8,customer8@gmail.com,TV,2.0,Yes,Love the clarity in the screen!,,,,,
4/19/2025 15:37:02,Customer 9,customer9@gmail.com,Smartphone,3.0,Yes,Good quality,,,,,
4/19/2025 15:37:24,Customer 9,customer9@gmail.com,Smartwatch,3.0,Yes,Beautiful watch!,,,,,
4/19/2025 15:39:44,Customer 1,customer1@gmail.com,,,,,4/15/2025,"Pittsburgh, PA",4.0,Yes,"Nope, thank you for the help"
4/19/2025 15:40:19,Customer 2,customer2@gmail.com,,,,,4/24/2025,"Charlotte, NC",3.0,Yes,Better customer service
4/19/2025 15:40:56,Customer 3,customer3@gmail.com,,,,,4/1/2025,"Midlothian, VA",5.0,Yes,Resolved issue in no time!
4/19/2025 15:41:31,Customer 4,customer4@gmail.com,,,,,4/27/2025,"Bowling Green, Ohio",3.0,Yes,
4/19/2025 15:42:05,Customer 5,customer5@gmail.com,,,,,4/2/2025,"Boulder, CO",4.0,Yes,Great price!
4/19/2025 15:42:43,Customer 6,customer6@gmail.com,,,,,3/14/2025,"Little Rock, AR",1.0,No,N/a
4/19/2025 15:43:35,Customer 7,customer7@gmai.com,,,,,4/2/2025,"Charleston, SC",3.0,Yes,Cared about my needs!
4/19/2025 15:44:01,Customer 8,customer8@gmail.com,,,,,4/14/2025,"Richmond, VA",2.0,No,
4/19/2025 15:44:52,Customer 9,customer9@gmail.com,,,,,2/3/2025,"Los Angeles, CA",4.0,Yes,Thank you
4/19/2025 15:45:51,Customer 10,customer10@gmail.com,,,,,3/14/2025,"Atlanta, GA",3.0,Yes,Quicker feedback
