Timestamp,Full Name,Email Address,Product Purchased,Overall Satisfaction,Would you recommend us to a friend?,Any additional comments?
4/19/2025 15:25:23,Customer 1,kirbykt@vcu.edu,Laptop,3,Yes,Loved it!
4/19/2025 15:34:10,Customer 2,customer2@gmail.com,TV,4,Yes,Love the size!
4/19/2025 15:34:35,Customer 3,customer3@gmail.com,Smartphone,5,Yes,Wonderful and high tech!
4/19/2025 15:34:59,Customer4,customer4@gmail.com,Smartwatch,1,No,Hated the way this felt on my wrist:(
4/19/2025 15:35:26,Customer5,customer5@gmail.com,Smartphone,1,No,Too expensive!
4/19/2025 15:35:47,Customer6,customer6@gmail.com,TV,2,Yes,n/a
4/19/2025 15:36:10,Customer 7,customer7@gmail.com,Smartwatch,4,Yes,n/a
4/19/2025 15:36:35,Customer 8,customer8@gmail.com,TV,2,Yes,Love the clarity in the screen!
4/19/2025 15:37:02,Customer 9,customer9@gmail.com,Smartphone,3,Yes,Good quality
4/19/2025 15:37:24,Customer 9,customer9@gmail.com,Smartwatch,3,Yes,Beautiful watch!
