Timestamp,Full Name,Email Address,Date of Service,Location of Service,Rate your support experience,Was your issue resolved?,Any suggestions to improve?
4/19/2025 15:39:44,Customer 1,customer1@gmail.com,4/15/2025,"Pittsburgh, PA",4,Yes,"Nope, thank you for the help"
4/19/2025 15:40:19,Customer 2,customer2@gmail.com,4/24/2025,"Charlotte, NC",3,Yes,Better customer service
4/19/2025 15:40:56,Customer 3,customer3@gmail.com,4/1/2025,"Midlothian, VA",5,Yes,Resolved issue in no time!
4/19/2025 15:41:31,Customer 4,customer4@gmail.com,4/27/2025,"Bowling Green, Ohio",3,Yes,n/a
4/19/2025 15:42:05,Customer 5,customer5@gmail.com,4/2/2025,"Boulder, CO",4,Yes,Great price!
4/19/2025 15:42:43,Customer 6,customer6@gmail.com,3/14/2025,"Little Rock, AR",1,No,N/a
4/19/2025 15:43:35,Customer 7,customer7@gmai.com,4/2/2025,"Charleston, SC",3,Yes,Cared about my needs!
4/19/2025 15:44:01,Customer 8,customer8@gmail.com,4/14/2025,"Richmond, VA",2,No,n/a
4/19/2025 15:44:52,Customer 9,customer9@gmail.com,2/3/2025,"Los Angeles, CA",4,Yes,Thank you
4/19/2025 15:45:51,Customer 10,customer10@gmail.com,3/14/2025,"Atlanta, GA",3,Yes,Quicker feedback
